phrase,spam_count,ham_count,spam_ratio,weight,category
draw txt,7,0,1.0,0.7,general
draw txt music,7,0,1.0,0.7,general
emi,7,0,1.0,0.7,general
fng,7,0,1.0,0.7,general
free aur,7,0,1.0,0.7,general
free camcorder,7,0,1.0,0.7,general
furnshd,7,0,1.0,0.7,general
gangtok,7,0,1.0,0.7,general
good luck,7,0,1.0,0.7,general
guaranteed 1000,7,0,1.0,0.7,general
guaranteed 1000 cash,7,0,1.0,0.7,general
hg,7,0,1.0,0.7,general
hg suite342,7,0,1.0,0.7,general
hg suite342 2lands,7,0,1.0,0.7,general
holiday 5000,7,0,1.0,0.7,general
holidays,7,0,1.0,0.7,general
home delivery,7,0,1.0,0.7,general
horny,7,0,1.0,0.7,general
hottest,7,0,1.0,0.7,general
hrs know,7,0,1.0,0.7,urgency
inaugural,7,0,1.0,0.7,general
income tax,7,0,1.0,0.7,general
jaankari,7,0,1.0,0.7,general
just pay,7,0,1.0,0.7,general
kapda,7,0,1.0,0.7,general
kewal,7,0,1.0,0.7,general
ldew,7,0,1.0,0.7,general
live operator,7,0,1.0,0.7,general
local national sms,7,0,1.0,0.7,general
lowest,7,0,1.0,0.7,general
luxurious,7,0,1.0,0.7,general
manya offer,7,0,1.0,0.7,general
maximize,7,0,1.0,0.7,general
maximize ur,7,0,1.0,0.7,general
maximize ur cash,7,0,1.0,0.7,general
mein talktime,7,0,1.0,0.7,general
meru,7,0,1.0,0.7,general
mobile number awarded,7,0,1.0,0.7,general
mobile par,7,0,1.0,0.7,general
new video phone,7,0,1.0,0.7,general
nimbus,7,0,1.0,0.7,general
nlimited,7,0,1.0,0.7,general
numbers ending,7,0,1.0,0.7,general
order sms,7,0,1.0,0.7,general
past life,7,0,1.0,0.7,general
presenting,7,0,1.0,0.7,general
prize claim easy,7,0,1.0,0.7,general
product,7,0,1.0,0.7,general
receive 350,7,0,1.0,0.7,general
reply yes,7,0,1.0,0.7,general
retail,7,0,1.0,0.7,general
reveal thinks,7,0,1.0,0.7,general
reward,7,0,1.0,0.7,general
ringtone order,7,0,1.0,0.7,general
rs 30,7,0,1.0,0.7,general
rs sms,7,0,1.0,0.7,general
rs5,7,0,1.0,0.7,general
rs650,7,0,1.0,0.7,general
secret admirer,7,0,1.0,0.7,general
singles,7,0,1.0,0.7,general
speak live,7,0,1.0,0.7,general
speak live operator,7,0,1.0,0.7,general
specially selected,7,0,1.0,0.7,general
specially selected receive,7,0,1.0,0.7,general
talktime 30,7,0,1.0,0.7,general
talktime 30 din,7,0,1.0,0.7,general
tariff,7,0,1.0,0.7,general
tax return,7,0,1.0,0.7,general
team agni,7,0,1.0,0.7,general
team agni 9212255555,7,0,1.0,0.7,general
tenerife,7,0,1.0,0.7,general
tenerife holiday,7,0,1.0,0.7,general
toll free aur,7,0,1.0,0.7,general
tone ur,7,0,1.0,0.7,general
txt music,7,0,1.0,0.7,general
txt music 87066,7,0,1.0,0.7,general
ur awarded 500,7,0,1.0,0.7,general
ur cash send,7,0,1.0,0.7,general
ur mates,7,0,1.0,0.7,general
usage,7,0,1.0,0.7,general
vibration,7,0,1.0,0.7,general
win 100,7,0,1.0,0.7,general
www cyberjob,7,0,1.0,0.7,general
www ldew,7,0,1.0,0.7,general
xway,7,0,1.0,0.7,general
tried,16,7,0.6957,0.6957,general
worth,34,15,0.6939,0.6939,general
pic,11,5,0.6875,0.6875,general
step,11,5,0.6875,0.6875,general
11,35,16,0.6863,0.6863,general
bank,28,13,0.6829,0.6829,financial
course,28,13,0.6829,0.6829,general
line,30,14,0.6818,0.6818,general
credit,15,7,0.6818,0.6818,financial
available,34,16,0.68,0.68,general
save,19,9,0.6786,0.6786,general
past,23,11,0.6765,0.6765,general
26,9,3,0.75,0.675,general
currently,9,3,0.75,0.675,general
jobs,9,3,0.75,0.675,general
surfing,9,3,0.75,0.675,general
pe,24,12,0.6667,0.6667,general
texts,18,9,0.6667,0.6667,general
extra,16,8,0.6667,0.6667,general
anytime,14,7,0.6667,0.6667,general
age,12,6,0.6667,0.6667,general
option,12,6,0.6667,0.6667,general
new,156,81,0.6582,0.6582,general
feb,11,6,0.6471,0.6471,general
high,11,6,0.6471,0.6471,general
ka,60,33,0.6452,0.6452,general
court,8,2,0.8,0.64,general
ending,8,2,0.8,0.64,general
fresh,8,2,0.8,0.64,general
goto,8,2,0.8,0.64,general
login,8,2,0.8,0.64,general
monthly,8,2,0.8,0.64,general
naam,8,2,0.8,0.64,general
racing,8,2,0.8,0.64,general
team,21,12,0.6364,0.6364,general
starting,14,8,0.6364,0.6364,general
live,47,27,0.6351,0.6351,general
cost,26,15,0.6341,0.6341,general
net,17,10,0.6296,0.6296,general
aur,60,36,0.625,0.625,general
deal,15,9,0.625,0.625,general
sexy,15,9,0.625,0.625,general
govt,9,4,0.6923,0.6231,general
rush,9,4,0.6923,0.6231,general
secret,9,4,0.6923,0.6231,general
cup,16,10,0.6154,0.6154,general
111,7,1,0.875,0.6125,general
23,7,1,0.875,0.6125,general
assistance,7,1,0.875,0.6125,general
dosti,7,1,0.875,0.6125,general
icici,7,1,0.875,0.6125,general
mega,7,1,0.875,0.6125,general
products,7,1,0.875,0.6125,general
txting,7,1,0.875,0.6125,general
vs,7,1,0.875,0.6125,general
insurance,11,7,0.6111,0.6111,general
mins,36,23,0.6102,0.6102,general
account,27,18,0.6,0.6,general
sirf,18,12,0.6,0.6,general
double,12,8,0.6,0.6,general
08712300220,6,0,1.0,0.6,general
08718720201,6,0,1.0,0.6,general
10 000 cash,6,0,1.0,0.6,general
10k,6,0,1.0,0.6,general
10kb,6,0,1.0,0.6,general
11 04,6,0,1.0,0.6,general
11mths,6,0,1.0,0.6,general
131,6,0,1.0,0.6,general
131 noida,6,0,1.0,0.6,general
131 noida xway,6,0,1.0,0.6,general
20 lac,6,0,1.0,0.6,general
20p,6,0,1.0,0.6,general
20p min,6,0,1.0,0.6,general
37,6,0,1.0,0.6,general
500 pounds maximize,6,0,1.0,0.6,general
5499,6,0,1.0,0.6,general
5512111,6,0,1.0,0.6,general
5512111 rs2,6,0,1.0,0.6,general
5512111 rs2 min,6,0,1.0,0.6,general
5667,6,0,1.0,0.6,general
56767,6,0,1.0,0.6,general
62222222,6,0,1.0,0.6,general
62468,6,0,1.0,0.6,general
69,6,0,1.0,0.6,general
86688 150p msg,6,0,1.0,0.6,general
aap mujhse,6,0,1.0,0.6,general
aap mujhse dosti,6,0,1.0,0.6,general
account statement shows,6,0,1.0,0.6,general
acha lagta,6,0,1.0,0.6,general
acha lagta hai,6,0,1.0,0.6,general
acres,6,0,1.0,0.6,general
admirer looking,6,0,1.0,0.6,general
admirer looking make,6,0,1.0,0.6,general
affordable,6,0,1.0,0.6,general
al inclusve,6,0,1.0,0.6,general
apprtmnt,6,0,1.0,0.6,general
appts,6,0,1.0,0.6,general
arsenal,6,0,1.0,0.6,general
aur eco,6,0,1.0,0.6,general
aur eco village,6,0,1.0,0.6,general
aur payein,6,0,1.0,0.6,general
aur rs,6,0,1.0,0.6,general
banking,6,0,1.0,0.6,financial
best deals,6,0,1.0,0.6,general
biz,6,0,1.0,0.6,general
blvrd,6,0,1.0,0.6,general
blvrd sec,6,0,1.0,0.6,general
blvrd sec 131,6,0,1.0,0.6,general
bsp,6,0,1.0,0.6,general
builder,6,0,1.0,0.6,general
caller prize 02,6,0,1.0,0.6,general
calls ke,6,0,1.0,0.6,general
calls par,6,0,1.0,0.6,general
calls par manya,6,0,1.0,0.6,general
cc,6,0,1.0,0.6,general
charged 50,6,0,1.0,0.6,general
chat 86688,6,0,1.0,0.6,general
choose option,6,0,1.0,0.6,general
chrgs,6,0,1.0,0.6,general
congratulations ur,6,0,1.0,0.6,general
congratulations ur awarded,6,0,1.0,0.6,general
connected,6,0,1.0,0.6,general
connectivity,6,0,1.0,0.6,general
contact reveal,6,0,1.0,0.6,general
contact reveal thinks,6,0,1.0,0.6,general
contest,6,0,1.0,0.6,general
cost 50,6,0,1.0,0.6,general
currently 500 pounds,6,0,1.0,0.6,general
customer service representative,6,0,1.0,0.6,general
cyberjob sent,6,0,1.0,0.6,general
cyberjob sent 4rm,6,0,1.0,0.6,general
dance karna,6,0,1.0,0.6,general
dance karna acha,6,0,1.0,0.6,general
data card,6,0,1.0,0.6,general
dear voucher,6,0,1.0,0.6,general
dear voucher holder,6,0,1.0,0.6,general
delhi ncr,6,0,1.0,0.6,general
dhamaka,6,0,1.0,0.6,general
dial 5512111,6,0,1.0,0.6,general
dial 5512111 rs2,6,0,1.0,0.6,general
din mein,6,0,1.0,0.6,general
dosti karoge,6,0,1.0,0.6,general
dosti karoge dial,6,0,1.0,0.6,general
download content,6,0,1.0,0.6,general
dream home noida,6,0,1.0,0.6,general
earn rs,6,0,1.0,0.6,general
eco village,6,0,1.0,0.6,general
enjoy unlimited,6,0,1.0,0.6,general
entry 100,6,0,1.0,0.6,general
flights,6,0,1.0,0.6,general
free 1st,6,0,1.0,0.6,general
free 1st week,6,0,1.0,0.6,general
free camcorder reply,6,0,1.0,0.6,general
free entry 100,6,0,1.0,0.6,general
free mobile,6,0,1.0,0.6,general
getzed,6,0,1.0,0.6,general
getzed uk,6,0,1.0,0.6,general
ghante mein talktime,6,0,1.0,0.6,general
gift voucher,6,0,1.0,0.6,general
hai kya,6,0,1.0,0.6,general
hai kya aap,6,0,1.0,0.6,general
half price line,6,0,1.0,0.6,general
handling,6,0,1.0,0.6,general
handling charges,6,0,1.0,0.6,general
herbal,6,0,1.0,0.6,general
holder,6,0,1.0,0.6,general
holiday 10,6,0,1.0,0.6,general
holiday 10 000,6,0,1.0,0.6,general
home noida,6,0,1.0,0.6,general
important information,6,0,1.0,0.6,general
inclusve,6,0,1.0,0.6,general
income tax return,6,0,1.0,0.6,general
internet dial,6,0,1.0,0.6,general
internet dial 234,6,0,1.0,0.6,general
jaankari ke,6,0,1.0,0.6,general
jaankari ke liye,6,0,1.0,0.6,general
jana dance,6,0,1.0,0.6,general
jana dance karna,6,0,1.0,0.6,general
just pay rs,6,0,1.0,0.6,general
kapda aur,6,0,1.0,0.6,general
kapda aur eco,6,0,1.0,0.6,general
karna acha,6,0,1.0,0.6,general
karna acha lagta,6,0,1.0,0.6,general
karoge dial,6,0,1.0,0.6,general
karoge dial 5512111,6,0,1.0,0.6,general
ke liye calls,6,0,1.0,0.6,general
kensington blvrd,6,0,1.0,0.6,general
kensington blvrd sec,6,0,1.0,0.6,general
kitchen,6,0,1.0,0.6,general
kya aap,6,0,1.0,0.6,general
kya aap mujhse,6,0,1.0,0.6,general
lagta,6,0,1.0,0.6,general
lagta hai,6,0,1.0,0.6,general
lagta hai kya,6,0,1.0,0.6,general
ldn,6,0,1.0,0.6,general
line claim 3030,6,0,1.0,0.6,general
live operator claim,6,0,1.0,0.6,general
liverpool,6,0,1.0,0.6,general
liye calls,6,0,1.0,0.6,general
liye calls par,6,0,1.0,0.6,general
local std,6,0,1.0,0.6,general
locations,6,0,1.0,0.6,general
log fantastic,6,0,1.0,0.6,general
logon,6,0,1.0,0.6,general
looking make,6,0,1.0,0.6,general
looking make contact,6,0,1.0,0.6,general
loyalty,6,0,1.0,0.6,general
lucky day,6,0,1.0,0.6,general
make contact,6,0,1.0,0.6,general
make contact reveal,6,0,1.0,0.6,general
marg,6,0,1.0,0.6,general
mens,6,0,1.0,0.6,general
mera naam,6,0,1.0,0.6,general
mera naam hai,6,0,1.0,0.6,general
metro statn,6,0,1.0,0.6,general
min stop,6,0,1.0,0.6,general
min stop texts,6,0,1.0,0.6,general
mobile charged,6,0,1.0,0.6,general
mobileupd8 08000839402 call2optout,6,0,1.0,0.6,general
mujhe party,6,0,1.0,0.6,general
mujhe party jana,6,0,1.0,0.6,general
mujhse,6,0,1.0,0.6,general
mujhse dosti,6,0,1.0,0.6,general
mujhse dosti karoge,6,0,1.0,0.6,general
naam hai,6,0,1.0,0.6,general
national sms day,6,0,1.0,0.6,general
noida xprsway,6,0,1.0,0.6,general
noida xway,6,0,1.0,0.6,general
noida xway combo,6,0,1.0,0.6,general
non stop,6,0,1.0,0.6,general
ntt,6,0,1.0,0.6,general
ntt po,6,0,1.0,0.6,general
ntt po box,6,0,1.0,0.6,general
number awarded 2000,6,0,1.0,0.6,general
o2,6,0,1.0,0.6,general
office space,6,0,1.0,0.6,general
operator claim,6,0,1.0,0.6,general
paisa,6,0,1.0,0.6,general
paisa sms,6,0,1.0,0.6,general
par manya,6,0,1.0,0.6,general
par manya offer,6,0,1.0,0.6,general
par talktime,6,0,1.0,0.6,general
par talktime recharge,6,0,1.0,0.6,general
paramount,6,0,1.0,0.6,general
party jana,6,0,1.0,0.6,general
party jana dance,6,0,1.0,0.6,general
pocket,6,0,1.0,0.6,general
pocket internet,6,0,1.0,0.6,general
pocket internet dial,6,0,1.0,0.6,general
pounds maximize,6,0,1.0,0.6,general
pounds maximize ur,6,0,1.0,0.6,general
price line,6,0,1.0,0.6,general
price line rental,6,0,1.0,0.6,general
prize 02,6,0,1.0,0.6,general
prsnts,6,0,1.0,0.6,general
racing track,6,0,1.0,0.6,general
receive 350 award,6,0,1.0,0.6,general
recharge par talktime,6,0,1.0,0.6,general
representative,6,0,1.0,0.6,general
reveal thinks ur,6,0,1.0,0.6,general
revising soon,6,0,1.0,0.6,general
roti,6,0,1.0,0.6,general
roti kapda,6,0,1.0,0.6,general
rs 100,6,0,1.0,0.6,general
rs3,6,0,1.0,0.6,general
rs444,6,0,1.0,0.6,general
rs75,6,0,1.0,0.6,general
rs999,6,0,1.0,0.6,general
sabhi,6,0,1.0,0.6,general
save upto,6,0,1.0,0.6,general
sec 131,6,0,1.0,0.6,general
sec 131 noida,6,0,1.0,0.6,general
sec137,6,0,1.0,0.6,general
secret admirer looking,6,0,1.0,0.6,general
sep,6,0,1.0,0.6,general
service representative,6,0,1.0,0.6,general
sf,6,0,1.0,0.6,general
skills,6,0,1.0,0.6,general
skyz,6,0,1.0,0.6,general
sms ur,6,0,1.0,0.6,general
standard,6,0,1.0,0.6,general
statement shows,6,0,1.0,0.6,general
statement shows 800,6,0,1.0,0.6,general
statn,6,0,1.0,0.6,general
stop send,6,0,1.0,0.6,general
stop send stop,6,0,1.0,0.6,general
tak manya,6,0,1.0,0.6,general
talktime recharge par,6,0,1.0,0.6,general
technology,6,0,1.0,0.6,general
text yes,6,0,1.0,0.6,general
thanks ringtone,6,0,1.0,0.6,general
thanks ringtone order,6,0,1.0,0.6,general
thinks ur,6,0,1.0,0.6,general
thinks ur special,6,0,1.0,0.6,general
unitech,6,0,1.0,0.6,general
ur cash balance,6,0,1.0,0.6,general
ur special,6,0,1.0,0.6,general
vettel,6,0,1.0,0.6,general
villa,6,0,1.0,0.6,general
voucher holder,6,0,1.0,0.6,general
week just txt,6,0,1.0,0.6,general
weekly draw,6,0,1.0,0.6,general
weight loss,6,0,1.0,0.6,general
won guaranteed 1000,6,0,1.0,0.6,general
www cyberjob sent,6,0,1.0,0.6,general
xpandabl,6,0,1.0,0.6,general
xway combo,6,0,1.0,0.6,general
yes reply 24hrs,6,0,1.0,0.6,general
text,105,73,0.5899,0.5899,general
chance,27,19,0.587,0.587,general
date,21,15,0.5833,0.5833,general
xmas,14,10,0.5833,0.5833,general
express,8,3,0.7273,0.5818,general
june,8,3,0.7273,0.5818,general
mates,8,3,0.7273,0.5818,general
score,8,3,0.7273,0.5818,general
size,8,3,0.7273,0.5818,general
super,8,3,0.7273,0.5818,general
india,40,29,0.5797,0.5797,general
card,22,16,0.5789,0.5789,general
style,11,8,0.5789,0.5789,general
weeks,11,8,0.5789,0.5789,general
experience,9,5,0.6429,0.5786,general
fancy,9,5,0.6429,0.5786,general
women,9,5,0.6429,0.5786,general
charge,15,11,0.5769,0.5769,general
din,31,23,0.5741,0.5741,general
messages,16,12,0.5714,0.5714,general
near,16,12,0.5714,0.5714,general
apne,12,9,0.5714,0.5714,general
log,12,9,0.5714,0.5714,general
pay,49,37,0.5698,0.5698,general
book,29,22,0.5686,0.5686,general
ab,13,10,0.5652,0.5652,general
play,27,21,0.5625,0.5625,general
word,24,19,0.5581,0.5581,general
men,10,8,0.5556,0.5556,general
pics,10,8,0.5556,0.5556,general
laptop,16,13,0.5517,0.5517,general
news,16,13,0.5517,0.5517,general
hain,11,9,0.55,0.55,general
pm,17,14,0.5484,0.5484,general
al,24,20,0.5455,0.5455,general
league,7,2,0.7778,0.5444,general
range,7,2,0.7778,0.5444,general
sony,7,2,0.7778,0.5444,general
sp,7,2,0.7778,0.5444,general
west,7,2,0.7778,0.5444,general
dream,19,16,0.5429,0.5429,general
lucky,13,11,0.5417,0.5417,general
numbers,9,6,0.6,0.54,general
sex,9,6,0.6,0.54,general
track,9,6,0.6,0.54,general
special,34,29,0.5397,0.5397,general
12,21,18,0.5385,0.5385,general
door,14,12,0.5385,0.5385,general
song,15,13,0.5357,0.5357,general
market,8,4,0.6667,0.5333,general
days,49,43,0.5326,0.5326,general
easy,17,15,0.5312,0.5312,general
group,10,9,0.5263,0.5263,general
minute,10,9,0.5263,0.5263,general
tickets,10,9,0.5263,0.5263,general
movies,11,10,0.5238,0.5238,general
way2sms,12,11,0.5217,0.5217,general
best,65,61,0.5159,0.5159,general
17,6,1,0.8571,0.5143,general
22,6,1,0.8571,0.5143,general
arrive,6,1,0.8571,0.5143,general
dvd,6,1,0.8571,0.5143,general
java,6,1,0.8571,0.5143,general
karoge,6,1,0.8571,0.5143,general
mnths,6,1,0.8571,0.5143,general
opp,6,1,0.8571,0.5143,general
profit,6,1,0.8571,0.5143,general
reduce,6,1,0.8571,0.5143,general
registration,6,1,0.8571,0.5143,general
retailer,6,1,0.8571,0.5143,general
secure,6,1,0.8571,0.5143,general
skin,6,1,0.8571,0.5143,general
spanish,6,1,0.8571,0.5143,general
sport,6,1,0.8571,0.5143,general
project,18,18,0.5,0.5,general
hours,16,16,0.5,0.5,general
months,11,11,0.5,0.5,general
000 cash await,5,0,1.0,0.5,general
05,5,0,1.0,0.5,general
06 03,5,0,1.0,0.5,general
06 03 2nd,5,0,1.0,0.5,general
08 1975,5,0,1.0,0.5,general
08 1975 55352,5,0,1.0,0.5,general
0870,5,0,1.0,0.5,general
08712300220 quoting,5,0,1.0,0.5,general
08712300220 quoting claim,5,0,1.0,0.5,general
0km,5,0,1.0,0.5,general
10 04,5,0,1.0,0.5,general
100 free,5,0,1.0,0.5,general
100 weekly draw,5,0,1.0,0.5,general
10p minute,5,0,1.0,0.5,general
10p minute bt,5,0,1.0,0.5,general
11 tak,5,0,1.0,0.5,general
12hrs 150ppm,5,0,1.0,0.5,general
137,5,0,1.0,0.5,general
15 08,5,0,1.0,0.5,general
15 08 1975,5,0,1.0,0.5,general
15 75,5,0,1.0,0.5,general
15 75 lac,5,0,1.0,0.5,general
1500,5,0,1.0,0.5,general
150p msg cc,5,0,1.0,0.5,general
1575,5,0,1.0,0.5,general
1575 2200,5,0,1.0,0.5,general
16 20,5,0,1.0,0.5,general
16 20 lac,5,0,1.0,0.5,general
18 www,5,0,1.0,0.5,general
1975,5,0,1.0,0.5,general
1975 55352,5,0,1.0,0.5,general
1975 55352 rs,5,0,1.0,0.5,general
20 lac dp,5,0,1.0,0.5,general
2200,5,0,1.0,0.5,general
2400,5,0,1.0,0.5,general
250 cash,5,0,1.0,0.5,general
250 cash wk,5,0,1.0,0.5,general
27 lac,5,0,1.0,0.5,general
2nd attempt reach,5,0,1.0,0.5,general
2nd time,5,0,1.0,0.5,general
2nd time tried,5,0,1.0,0.5,general
2optout,5,0,1.0,0.5,general
32,5,0,1.0,0.5,general
40gb,5,0,1.0,0.5,general
40gb ipod,5,0,1.0,0.5,technical
4rm 160by2 com,5,0,1.0,0.5,general
50 msg,5,0,1.0,0.5,general
50 tone,5,0,1.0,0.5,general
50 tone arrive,5,0,1.0,0.5,general
500 cd gift,5,0,1.0,0.5,general
500 free,5,0,1.0,0.5,general
500 local,5,0,1.0,0.5,general
500 local national,5,0,1.0,0.5,general
50000,5,0,1.0,0.5,general
52424,5,0,1.0,0.5,general
52424 tnc,5,0,1.0,0.5,general
53030,5,0,1.0,0.5,general
53636,5,0,1.0,0.5,general
53636 tnc,5,0,1.0,0.5,general
55352 ex,5,0,1.0,0.5,general
55352 ex sms,5,0,1.0,0.5,general
55352 rs,5,0,1.0,0.5,general
55352 rs sms,5,0,1.0,0.5,general
75 lac,5,0,1.0,0.5,general
75 lac al,5,0,1.0,0.5,general
7pm cost,5,0,1.0,0.5,general
7pm cost 10p,5,0,1.0,0.5,general
800 prize,5,0,1.0,0.5,general
800 prize guaranteed,5,0,1.0,0.5,general
80062,5,0,1.0,0.5,general
80488,5,0,1.0,0.5,general
82277,5,0,1.0,0.5,general
900 prize,5,0,1.0,0.5,general
9212,5,0,1.0,0.5,general
9268250573,5,0,1.0,0.5,general
activation,5,0,1.0,0.5,general
announces,5,0,1.0,0.5,general
ansal,5,0,1.0,0.5,general
apartments,5,0,1.0,0.5,general
apne mobile,5,0,1.0,0.5,general
appin,5,0,1.0,0.5,general
apprtmnt sec137,5,0,1.0,0.5,general
apprtmnt sec137 noida,5,0,1.0,0.5,general
arrive customer,5,0,1.0,0.5,general
arrive customer services,5,0,1.0,0.5,general
assured return,5,0,1.0,0.5,general
attempt reach,5,0,1.0,0.5,general
awarded 2000 prize,5,0,1.0,0.5,general
ayurvedic,5,0,1.0,0.5,general
beachside,5,0,1.0,0.5,general
belt rs650,5,0,1.0,0.5,general
belt rs999,5,0,1.0,0.5,general
benetton,5,0,1.0,0.5,general
best price,5,0,1.0,0.5,general
bhejein,5,0,1.0,0.5,general
bhkapts,5,0,1.0,0.5,general
bollywood,5,0,1.0,0.5,general
booking open,5,0,1.0,0.5,general
bose,5,0,1.0,0.5,general
browsing,5,0,1.0,0.5,general
bulk sms paisa,5,0,1.0,0.5,general
buy free,5,0,1.0,0.5,general
calls ke liye,5,0,1.0,0.5,general
camera phones,5,0,1.0,0.5,general
cash wk,5,0,1.0,0.5,general
cash wk txt,5,0,1.0,0.5,general
cc 08718720201,5,0,1.0,0.5,general
cd gift,5,0,1.0,0.5,general
cd gift vouchers,5,0,1.0,0.5,general
cds,5,0,1.0,0.5,general
center fresh,5,0,1.0,0.5,general
charged 50 tone,5,0,1.0,0.5,general
claim free,5,0,1.0,0.5,general
clinic,5,0,1.0,0.5,general
connected aircel,5,0,1.0,0.5,general
contacted,5,0,1.0,0.5,general
contacted dating,5,0,1.0,0.5,general
contacted dating service,5,0,1.0,0.5,general
cost 10p,5,0,1.0,0.5,general
course extn,5,0,1.0,0.5,general
customer service announcement,5,0,1.0,0.5,general
dda,5,0,1.0,0.5,general
dial karein 321,5,0,1.0,0.5,general
digital camera,5,0,1.0,0.5,general
discounts,5,0,1.0,0.5,general
dont miss,5,0,1.0,0.5,general
draw 100,5,0,1.0,0.5,general
easy just,5,0,1.0,0.5,general
ec2a,5,0,1.0,0.5,general
entitled,5,0,1.0,0.5,general
ex sms,5,0,1.0,0.5,general
ex sms past,5,0,1.0,0.5,general
fantastic surprise,5,0,1.0,0.5,general
fantastic surprise awaiting,5,0,1.0,0.5,general
fat inch,5,0,1.0,0.5,general
federer,5,0,1.0,0.5,general
fee,5,0,1.0,0.5,general
final attempt,5,0,1.0,0.5,general
final attempt contact,5,0,1.0,0.5,general
flag,5,0,1.0,0.5,general
free home,5,0,1.0,0.5,general
free home delivery,5,0,1.0,0.5,general
free msg,5,0,1.0,0.5,general
free ringtone,5,0,1.0,0.5,general
friend reply,5,0,1.0,0.5,general
friend reply yes,5,0,1.0,0.5,general
frnd 62468,5,0,1.0,0.5,general
fully furnshd,5,0,1.0,0.5,general
fully furnshd service,5,0,1.0,0.5,general
furnshd service,5,0,1.0,0.5,general
furnshd service apprtmnt,5,0,1.0,0.5,general
golf course extn,5,0,1.0,0.5,general
golf plots,5,0,1.0,0.5,general
handset 750,5,0,1.0,0.5,general
hdfc,5,0,1.0,0.5,general
hdfc bank,5,0,1.0,0.5,financial
heri,5,0,1.0,0.5,general
heri mkt,5,0,1.0,0.5,general
heri mkt paschim,5,0,1.0,0.5,general
holder claim,5,0,1.0,0.5,general
holi,5,0,1.0,0.5,general
immediately urgent,5,0,1.0,0.5,urgency
immediately urgent message,5,0,1.0,0.5,urgency
inside past,5,0,1.0,0.5,general
inside past sms,5,0,1.0,0.5,general
inviting,5,0,1.0,0.5,general
inviting friend,5,0,1.0,0.5,general
inviting friend reply,5,0,1.0,0.5,general
ip 54999,5,0,1.0,0.5,technical
join uk,5,0,1.0,0.5,general
just arrived,5,0,1.0,0.5,general
kare 9212,5,0,1.0,0.5,general
karein 121,5,0,1.0,0.5,general
karein 321,5,0,1.0,0.5,general
karolbagh,5,0,1.0,0.5,general
ke saath,5,0,1.0,0.5,general
lac dp,5,0,1.0,0.5,general
lac onwards,5,0,1.0,0.5,general
landline complimentary,5,0,1.0,0.5,general
latest colour,5,0,1.0,0.5,general
latest motorola,5,0,1.0,0.5,general
launched,5,0,1.0,0.5,general
life inside,5,0,1.0,0.5,general
life inside past,5,0,1.0,0.5,general
liye kare 9212,5,0,1.0,0.5,general
log fantastic surprise,5,0,1.0,0.5,general
log www,5,0,1.0,0.5,general
logix,5,0,1.0,0.5,general
marketing,5,0,1.0,0.5,general
master,5,0,1.0,0.5,general
match 08712300220,5,0,1.0,0.5,general
match 08712300220 quoting,5,0,1.0,0.5,general
mein talktime 30,5,0,1.0,0.5,general
message waiting,5,0,1.0,0.5,general
mins half,5,0,1.0,0.5,general
mins half price,5,0,1.0,0.5,general
mins unlimited,5,0,1.0,0.5,general
mins unlimited text,5,0,1.0,0.5,general
minute bt,5,0,1.0,0.5,general
minute bt national,5,0,1.0,0.5,general
mkt,5,0,1.0,0.5,general
mkt paschim,5,0,1.0,0.5,general
mob week,5,0,1.0,0.5,general
mob week just,5,0,1.0,0.5,general
mobile 10,5,0,1.0,0.5,general
mobile charged 50,5,0,1.0,0.5,general
mobile content,5,0,1.0,0.5,general
mobile free,5,0,1.0,0.5,general
mobile office,5,0,1.0,0.5,general
mobile phone,5,0,1.0,0.5,general
modular,5,0,1.0,0.5,general
motorola sonyericsson,5,0,1.0,0.5,general
mrapali,5,0,1.0,0.5,general
mrp rs,5,0,1.0,0.5,general
msg cc,5,0,1.0,0.5,general
mtr,5,0,1.0,0.5,general
musstbuy,5,0,1.0,0.5,general
ncr rs50,5,0,1.0,0.5,general
ncr rs50 extra,5,0,1.0,0.5,general
network mins half,5,0,1.0,0.5,general
noida way,5,0,1.0,0.5,general
noida xprsway 15,5,0,1.0,0.5,general
nokia free,5,0,1.0,0.5,general
nokia tone,5,0,1.0,0.5,general
nokia tone ur,5,0,1.0,0.5,general
nov,5,0,1.0,0.5,general
number won,5,0,1.0,0.5,general
offer ends,5,0,1.0,0.5,general
offer new,5,0,1.0,0.5,general
offer price,5,0,1.0,0.5,general
offers mobile,5,0,1.0,0.5,general
pan card,5,0,1.0,0.5,general
paras tierea fully,5,0,1.0,0.5,general
paschim,5,0,1.0,0.5,general
passport assistance,5,0,1.0,0.5,general
past 15,5,0,1.0,0.5,general
past 15 08,5,0,1.0,0.5,general
past life inside,5,0,1.0,0.5,general
past sms,5,0,1.0,0.5,general
past sms past,5,0,1.0,0.5,general
phase,5,0,1.0,0.5,general
phones free,5,0,1.0,0.5,general
price revising,5,0,1.0,0.5,general
prize customer,5,0,1.0,0.5,general
promo,5,0,1.0,0.5,general
properties,5,0,1.0,0.5,general
quoting,5,0,1.0,0.5,general
quoting claim,5,0,1.0,0.5,general
quoting claim code,5,0,1.0,0.5,general
rate revsng,5,0,1.0,0.5,general
rate revsng soon,5,0,1.0,0.5,general
rcvd,5,0,1.0,0.5,general
re1,5,0,1.0,0.5,general
receive 1000,5,0,1.0,0.5,general
