text,label,feature_score,urgency_score,financial_score,authority_score,threat_score,technical_score,matched_phrases
hmm too many of them unfortunately pics obviously arent hot cakes its kinda fun tho,0,5.4257,0.0,0.0,0.0,0.0,0.0,"cs, ts, ke, hot, pic, pics, ki, fun"
watching tv lor y she so funny we bluff her 4 wat izzit because she thk it s impossible between us,0,2.7817,0.0,0.0,0.0,0.0,0.0,"po, tv, se, fun, watch, tc"
xmas prize draws we are trying to contact u todays draw shows that you have won a 2000 prize guaranteed call 09058094565 from land line valid 12hrs only,1,32.0544,2.4947,0.0,0.0,0.0,0.0,"prize, guaranteed, valid, prize guaranteed, land, land line, 12hrs, valid 12hrs, 2000 prize, draw shows, guarantee, 000, 2000, 45, 2000 prize guaranteed, 80, todays, 200, ac, draw"
dunno lei he neva say,0,0.0,0.0,0.0,0.0,0.0,0.0,
thanx 4 2day u r a goodmate i think ur rite sary asusual 1 u cheered me up love u franyxxxxx,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
i m on my way home went to change batt 4 my watch then go shop a bit lor,0,1.5612,0.0,0.0,0.0,0.0,0.0,"tt, shop, watch, tc"
yes the only place in town to meet exciting adult singles is now in the uk txt chat to 86688 now 150p msg,1,15.7909,0.0,0.0,0.0,0.0,0.0,"150p, 150, 150p msg, 86688, 50p, uk, lac, txt, 50, ac, 15, ms, pl, chat, singles, txt chat, yes, 88, msg, exciting"
hi mobile no lt gt has added you in their contact list on www fullonsms com it s a great place to send free sms to people for more visit fullonsms com,0,15.2289,0.0,0.0,0.0,0.0,0.0,"ree, www, lac, sms, mobile, ac, visit, mob, ms, free, com, contact, pl, pe, se, free sms, ons, send free, send, end"
good evening sir hope you are having a nice day i wanted to bring it to your notice that i have been late in paying rent for the past few months and have had to pay a lt gt charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that s why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month s end can you please help thank you for everything,0,11.7194,0.0,0.0,0.0,0.0,0.0,"rate, rs, har, pl, won, past, pe, cost, charge, pay, ab, sp, skin, months, month, se, ons, ki, end, gr"
if i let you do this i want you in the house by 8am,0,0.4433,0.0,0.0,0.0,0.0,0.0,se
best line said in love i will wait till the day i can forget u or the day u realize that u cannot forget me gn,0,2.6079,0.0,0.0,0.0,0.0,0.0,"line, al, best, till, real"
i will reach before ten morning,0,0.8696,0.0,0.0,0.0,0.0,0.0,ac
your pussy is perfect,0,0.6667,0.0,0.0,0.0,0.0,0.0,pe
someone has contacted our dating service and entered your phone becausethey fancy you to find out who it is call from a landline 09058098002 pobox1 w14rg 150p,1,25.8647,0.0,0.0,0.0,0.0,0.0,"150p, 800, dating, 150, land, dating service, 50p, pobox, service, 14, landline, 02, 80, 50, ac, 15, po, ph, contact, box"
no message no responce what happend,0,4.1921,0.0,0.0,0.0,0.0,0.0,"po, app, pe, age, sp, message, end"
also where s the piece,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal,0,4.9146,0.0,0.0,0.0,0.0,0.0,"uk, win, ke, brand, ka, al, tc"
boo how s things i m back at home and a little bored already,0,2.2165,0.0,0.0,0.0,0.0,0.0,"ac, al, tt, ready"
first has she gained more than lt gt kg since she took in second has she done the blood sugar tests if she has and its ok and her blood pressure is within normal limits then no worries,0,4.8682,0.0,0.0,0.0,0.0,0.0,"ts, sec, rs, eco, al, se, pre"
pick ur fone up now u dumb,0,0.6875,0.0,0.0,0.0,0.0,0.0,pic
thanks da thangam i feel very very happy dear i also miss you da,0,1.7819,0.0,0.0,0.0,0.0,0.0,"app, al, fee"
okey doke i m at home but not dressed cos laying around ill speak to you later bout times and stuff,0,2.8731,0.0,0.0,0.0,0.0,0.0,"ke, pe, sp, se, dr"
i don t run away frm u i walk slowly amp it kills me that u don t care enough to stop me,0,2.3118,0.0,0.0,0.0,0.0,0.0,"low, stop, al, ki"
babe i m back come back to me,0,2.2446,0.0,0.0,0.0,0.0,0.0,"ac, com, ab"
well you told others you d marry them,0,1.1828,0.0,0.0,0.0,0.0,0.0,"rs, mar"
neshanth tel me who r u,0,0.0,0.0,0.0,0.0,0.0,0.0,
yo yo yo byatch whassup,0,0.3125,0.0,0.0,0.0,0.0,0.0,tc
oh kay on sat right,0,0.6452,0.0,0.0,0.0,0.0,0.0,ka
hi this is roger from cl how are you,0,0.0,0.0,0.0,0.0,0.0,0.0,
babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo 4msgs,1,6.509,0.0,0.0,0.0,0.0,0.0,"txt, har, ms, sexy, fancy, ab, sex, rd, se, msg, tc"
oh oh wasted den muz chiong on sat n sun liao,0,0.0,0.0,0.0,0.0,0.0,0.0,
jesus christ bitch i m trying to give you drugs answer your fucking phone,0,3.3547,0.0,0.0,0.0,0.0,0.0,"ph, dr, phone, answer, ki, tc, trying, ist"
please give it 2 or i will pick it up on tuesday evening about 8 if that is ok,0,2.4652,0.0,0.0,0.0,0.0,0.0,"pl, pic, ab, se"
i m meeting darren,0,0.0,0.0,0.0,0.0,0.0,0.0,
one of best dialogue in cute reltnship wen i die dont come near my body bcoz my hands may not come 2 wipe ur tears off that time gud ni8,0,5.8565,0.0,0.0,0.0,0.0,0.3273,"dial, rs, com, pe, near, log, al, best, ip"
solve d case a man was found murdered on lt decimal gt lt gt afternoon 1 his wife called police 2 police questioned everyone 3 wife sir i was sleeping when the murder took place 4 cook i was cooking 5 gardener i was picking vegetables 6 house maid i went 2 d post office 7 children we went 2 play 8 neighbour we went 2 a marriage police arrested d murderer immediately who s it reply with reason if u r brilliant,0,10.9476,0.0,0.0,0.0,0.0,0.0,"lac, ft, ac, po, reply, pl, pic, age, ab, play, al, rd, se, dr, office, ki, mar, media"
dear where you will be when i reach there,0,0.8696,0.0,0.0,0.0,0.0,0.0,ac
aww that s the first time u said u missed me without asking if i missed u first you do love me,0,2.1689,0.0,0.0,0.0,0.0,0.0,"rs, skin, se, ki"
ok thanx gd nite 2 too,0,0.0,0.0,0.0,0.0,0.0,0.0,
come to me right now ahmad,0,0.8098,0.0,0.0,0.0,0.0,0.0,com
lol please do actually send a pic of yourself right now i wanna see pose with a comb and hair dryer or something,0,6.9911,0.0,0.0,0.0,0.0,0.0,"ac, rs, po, com, pl, pic, al, se, dr, send, end"
o was not into fps then,0,0.0,0.0,0.0,0.0,0.0,0.0,
huh means computational science y they like dat one push here n there,0,2.9935,0.0,0.0,0.0,0.0,0.0,"comp, com, ke, al"
could you not read me my love i answered you,0,0.3929,0.0,0.0,0.0,0.0,0.0,answer
oh lk tt den we take e one tt ends at cine lor dun wan yogasana oso can,0,2.6672,0.0,0.0,0.0,0.0,0.0,"ke, tak, tt, end, ana"
madam regret disturbance might receive a reference check from dlf premarica kindly be informed rgds rakhesh kerala,0,5.0957,0.0,0.0,0.0,0.0,0.0,"receive, ke, info, al, ref, ki, mar, pre, gr, ist"
sms services for your inclusive text credits pls gotto www comuk net login 3qxj9 unsubscribe with stop no extra charge help 08702840625 comuk 220cm2 9ae,1,36.2687,0.0,2.9818,0.0,0.0,0.0,"unsubscribe, 08, subscribe, ts, www, uk, services, service, 02, 06, sms, 40, har, ms, 28, com, 70, credits, inclusive, pl"
oic then better quickly go bathe n settle down,0,0.9356,0.0,0.0,0.0,0.0,0.0,"tt, se"
err cud do i m going to at 8pm i haven t got a way to contact him until then,0,2.2202,0.0,0.0,0.0,0.0,0.0,"ac, contact, pm"
a bloo bloo bloo i ll miss the first bowl,0,0.8628,0.0,0.0,0.0,0.0,0.0,rs
lmao but its so fun,0,1.3421,0.0,0.0,0.0,0.0,0.0,"ts, fun"
oh k k but he is not a big hitter anyway good,0,0.4923,0.0,0.0,0.0,0.0,0.0,tt
hey i almost forgot happy b day babe i love ya,0,1.8471,0.0,0.0,0.0,0.0,0.0,"app, ab, al"
do you think i can move lt gt in a week,0,0.416,0.0,0.0,0.0,0.0,0.0,week
she s find i sent you an offline message to know how anjola s now,0,2.18,0.0,0.0,0.0,0.0,0.0,"line, age, se, message"
guess who am i this is the first time i created a web page www asjesus com read all i wrote i m waiting for your opinions i want to be your friend 1 1,1,5.4173,0.0,0.0,0.0,0.0,0.0,"www, rs, com, age, al, web, ons, end, guess"
how was txting and driving,0,1.9406,0.0,0.0,0.0,0.0,0.0,"txt, txting, dr"
that s good lets thank god please complete the drug have lots of water and have a beautiful day,0,4.2952,0.0,0.0,0.0,0.0,0.0,"ts, comp, com, pl, se, dr"
really dun bluff me leh u sleep early too nite,0,0.9319,0.0,0.0,0.0,0.0,0.0,"al, real"
indians r poor but india is not a poor country says one of the swiss bank directors he says that lt gt lac crore of indian money is deposited in swiss banks which can be used for taxless budget for lt gt yrs can give lt gt crore jobs to all indians from any village to delhi 4 lane roads forever free power suply to more than lt gt social projects every citizen can get monthly lt gt for lt gt yrs no need of world bank amp imf loan think how our money is blocked by rich politicians we have full rights against corrupt politicians itna forward karo ki pura india padhe g m,0,23.4398,0.0,0.6829,0.0,0.0,0.0,"ree, ts, lac, ac, direct, tax, rs, po, free, delhi, ke, village, pl, loan, road, del, bank, jobs, age, ka"
uncle boye i need movies oh guide me plus you know torrents are not particularly legal here and the system is slowing down what should i do have a gr8 day plus have you started cos i dont meet you online how was the honey moon,0,7.1835,0.0,0.0,0.0,0.0,0.0,"ts, win, pl, star, par, low, line, al, movies, movie, gr"
oh ya ya i remember da,0,0.8333,0.0,0.0,0.0,0.0,0.0,member
btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,0,3.9514,0.0,0.0,0.0,0.0,0.0,"com, din, al, rd, se, comm, real, 4t"
for ur chance to win 250 cash every wk txt play to 83370 t s c s www music trivia net custcare 08715705022 1x150p wk,1,23.494,0.0,0.0,0.0,0.0,0.0,"150p, 150, 50p, 08, www, music, 250, txt, 02, 50, 15, cash, win, 70, wk txt, pl, wk, 25, custcare, net"
i not busy juz dun wan 2 go so early hee,0,0.0,0.0,0.0,0.0,0.0,0.0,
rightio 11 48 it is then well arent we all up bright and early this morning,0,2.1142,0.0,0.0,0.0,0.0,0.0,"48, 11, al"
great i m in church now will holla when i get out,0,0.3,0.0,0.0,0.0,0.0,0.0,gr
back in brum thanks for putting us up and keeping us all and happy see you soon,0,3.8791,0.0,0.0,0.0,0.0,0.0,"ac, ke, app, al, tt, se"
i donno if they are scorable,0,0.5652,0.0,0.0,0.0,0.0,0.0,ab
lt gt great loxahatchee xmas tree burning update you can totally see stars here,0,6.1497,0.0,0.0,0.0,0.0,0.0,"ree, rs, update, star, date, xmas, al, se, tc, gr"
yes but i dont care i need you bad princess,0,0.4044,0.0,0.0,0.0,0.0,0.0,yes
the guy kadeem hasn t been selling since the break i know one other guy but he s paranoid as fuck and doesn t like selling without me there and i can t be up there til late tonight,0,2.6091,0.0,0.0,0.0,0.0,0.0,"ke, par, ka, se"
tmr then brin lar aiya later i come n c lar mayb neva set properly got da help sheet wif,0,2.272,0.0,0.0,0.0,0.0,0.0,"com, pe, se, mr"
do u knw dis no lt gt,0,0.0,0.0,0.0,0.0,0.0,0.0,
then she dun believe wat,0,0.0,0.0,0.0,0.0,0.0,0.0,
k give back my thanks,0,0.8696,0.0,0.0,0.0,0.0,0.0,ac
i know complain num only bettr directly go to bsnl offc nd apply for it,0,6.46,0.0,0.0,0.0,0.0,0.0,"appl, apply, direct, comp, com, pl, app, tt"
okay i ve seen it so i should pick it on friday,0,2.176,0.0,0.0,0.0,0.0,0.0,"pic, ka, se, rid"
how much she payed suganya,0,0.5698,0.0,0.0,0.0,0.0,0.0,pay
left dessert u wan me 2 go suntec look 4 u,0,1.3766,0.0,0.0,0.0,0.0,0.0,"ft, se"
abeg make profit but its a start are you using it to get sponsors for the next event,0,7.0239,0.0,0.0,0.0,0.0,0.0,"ts, rs, po, ke, star, ab, sp, profit, using, ons, ext"
onum ela pa normal than,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
k k how is your sister kids,0,0.6485,0.0,0.0,0.0,0.0,0.0,"ki, ist"
cool i ll text you when i m on the way,0,0.9099,0.0,0.0,0.0,0.0,0.0,"text, ext"
nope meanwhile she talk say make i greet you,0,3.3042,0.0,0.0,0.0,0.0,0.0,"ree, ke, pe, al, gr"
i cant talk to you now i will call when i can dont keep calling,0,1.3375,0.0,0.0,0.0,0.0,0.0,"ke, al"
anything lar,0,0.0,0.0,0.0,0.0,0.0,0.0,
rose needs water season needs change poet needs imagination my phone needs ur sms and i need ur lovely frndship forever,0,5.4328,0.0,0.0,0.0,0.0,0.3273,"sms, po, ph, ms, season, se, phone, ip"
good afternoon babe how goes that day any job prospects yet i miss you my love sighs,0,4.0161,0.0,0.0,0.0,0.0,0.0,"ts, ft, pe, ab, sp, job"
they will pick up and drop in car so no problem,0,1.1142,0.0,0.0,0.0,0.0,0.0,"pic, dr"
s i think he is waste for rr,0,0.0,0.0,0.0,0.0,0.0,0.0,
he is world famamus,0,0.3978,0.0,0.0,0.0,0.0,0.0,world
is there coming friday is leave for pongal do you get any news from your work place,0,7.1764,0.0,0.0,0.0,0.0,0.0,"lac, ac, po, com, pl, min, new, news, al, rid"
lol well don t do it without me we could have a big sale together,0,1.6514,0.0,0.0,0.0,0.0,0.0,"sale, al, sal"
am on my way,0,0.0,0.0,0.0,0.0,0.0,0.0,
eat at old airport road but now 630 oredi got a lot of pple,0,3.4534,0.0,0.0,0.0,0.0,0.0,"po, pl, road, 30, 63"
sry can t talk on phone with parents,0,3.5459,0.0,0.0,0.0,0.0,0.0,"ts, ph, par, al, phone"
ok lor wat time finish,0,0.0,0.0,0.0,0.0,0.0,0.0,
princess i like to make love lt gt times per night hope thats not a problem,0,2.4587,0.0,0.0,0.0,0.0,0.0,"ts, ke, pe"
mm i am on the way to railway,0,0.0,0.0,0.0,0.0,0.0,0.0,
i m done i m sorry i hope your next space gives you everything you want remember all the furniture is yours if i m not around when you move it just lock all the locks and leave the key with jenne,0,6.5711,0.0,0.0,0.0,0.0,0.0,"ac, rs, member, ke, space, pe, al, sp, loc, ext"
not yet just i d like to keep in touch and it will be the easiest way to do that from barcelona by the way how ru and how is the house,0,1.2353,0.0,0.0,0.0,0.0,0.0,"ke, se"
sppok up ur mob with a halloween collection of nokia logo pic message plus a free eerie tone txt card spook to 8007,1,19.7305,0.0,0.0,0.0,0.0,0.0,"tone, 800, 8007, ree, ur mob, collection, nokia, txt, 80, po, mob, free, pl, collect, 00, low, pic, age, card, log"
urgent call 09066612661 from landline your complementary 4 tenerife holiday or 10 000 cash await collection sae t cs po box 3 wa14 2px 150ppm 18 sender hol offer,1,41.7074,0.8906,0.0,0.0,0.0,0.0,"150p, cs, 150ppm, po box, sae, 150, land, await collection, 50p, 18, 000, collection, await, offer, 14, landline, 06, cash await, cash await collection, 50"
k do it at evening da urgent,0,0.8906,0.8906,0.0,0.0,0.0,0.0,urgent
pansy you ve been living in a jungle for two years its my driving you should be more worried about,0,4.1766,0.0,0.0,0.0,0.0,0.0,"ts, rs, ab, dr, pan, years, year, living"
mm have some kanji dont eat anything heavy ok,0,1.0952,0.0,0.0,0.0,0.0,0.0,"ka, ji"
only if you promise your getting out as soon as you can and you ll text me in the morning to let me know you made it in ok,0,1.8455,0.0,0.0,0.0,0.0,0.0,"text, tt, se, ext"
lol that s different i don t go trying to find every real life photo you ever took,0,3.2297,0.0,0.0,0.0,0.0,0.0,"ph, hot, al, photo, real, trying"
i dont thnk its a wrong calling between us,0,1.5455,0.0,0.0,0.0,0.0,0.0,"ts, al"
k ill drink pa then what doing i need srs model pls send it to my mail id pa,0,3.9277,0.0,0.0,0.0,0.0,0.0,"rs, pl, del, se, dr, send, end"
aiyah e rain like quite big leh if drizzling i can at least run home,0,1.2187,0.0,0.0,0.0,0.0,0.0,"ke, dr"
i have 2 docs appointments next week i m tired of them shoving stuff up me ugh why couldn t i have had a normal body,0,6.0356,0.0,0.0,0.0,0.0,0.0,"cs, ts, po, app, ldn, men, al, week, ext"
dun b sad it s over dun thk abt it already concentrate on ur other papers k,0,3.9108,0.0,0.0,0.0,0.0,0.0,"rate, rs, pe, ab, al, ready"
greetings me consider yourself excused,0,3.0061,0.0,0.0,0.0,0.0,0.0,"ree, rs, se, ons, gr"
no drama pls i have had enough from you and family while i am struggling in the hot sun in a strange place no reason why there should be an ego of not going if not invited when actually its necessity to go wait for very serious reppurcussions,0,7.0072,0.0,0.0,0.0,0.0,0.0,"ts, lac, ac, pl, hot, al, range, se, dr, ons, family"
they released another italian one today and it has a cosign option,0,2.6555,0.0,0.0,0.0,0.0,0.0,"opt, option, al, se"
you at mu you should try to figure out how much money everyone has for gas and alcohol jay and i are trying to figure out our weed budget,0,0.8478,0.0,0.0,0.0,0.0,0.0,"al, trying"
winner as a valued network customer you hvae been selected to receive a 900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,28.4842,0.0,0.0,0.0,0.0,0.0,"24, 150p, valid, 150, 03, 50p, winner, 14, 06, 24 hours, 50, network, receive, ac, rs, 15, win, selected, valued, 70"
hcl chennai requires freshers for voice process excellent english needed salary upto lt gt call ms suman lt gt for telephonic interview via indyarocks com,0,6.473,0.0,0.0,0.0,0.0,0.0,"rs, ph, ms, upto, com, fresh, al, salary, sal, view"
dai what this da can i send my resume to this id,0,1.9271,0.0,0.0,0.0,0.0,0.0,"resume, se, send, end"
i know where the lt gt is i ll be there around 5,0,0.0,0.0,0.0,0.0,0.0,0.0,
yup i ve finished c there,0,0.0,0.0,0.0,0.0,0.0,0.0,
remember to ask alex about his pizza,0,1.944,0.0,0.0,0.0,0.0,0.0,"member, ab, al"
no da today also i forgot,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
ola would get back to you maybe not today but i ve told him you can be his direct link in the us in getting cars he bids for online you arrange shipping and you get a cut or u for a partnership where u invest money for shipping and he takes care of the rest u wud b self reliant soon dnt worry,0,9.7895,0.0,0.0,0.0,0.0,0.3273,"ac, direct, rs, bid, ke, invest, tak, par, line, range, link, tt, se, partner, ip"
fwiw the reason i m only around when it s time to smoke is that because of gas i can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,0,4.8593,0.0,0.0,0.0,0.0,0.0,"ts, ke, app, par, pe, rd, se"
hello my boytoy i made it home and my constant thought is of you my love i hope your having a nice visit but i can t wait till you come home to me kiss,0,3.5547,0.0,0.0,0.0,0.0,0.0,"visit, com, pe, till, ons, ki"
congrats kano whr s the treat maga,0,2.2652,0.0,0.0,0.0,0.0,0.0,"ts, ka, rats, gr"
who u talking about,0,1.4592,0.0,0.0,0.0,0.0,0.0,"ab, al, ki"
u wake up already wat u doing u picking us up later rite i m taking sq825 reaching ard 7 smth 8 like dat u can check e arrival time c ya soon,0,7.1946,0.0,0.0,0.0,0.0,0.0,"sq, ac, ke, tak, mth, 25, pic, al, rd, ki, ready"
yunny i m walking in citylink now faster come down me very hungry,0,3.2329,0.0,0.0,0.0,0.0,0.0,"com, city, al, link, ki, gr"
er yep sure props,0,0.0,0.0,0.0,0.0,0.0,0.0,
hiya have u been paying money into my account if so thanks got a pleasant surprise when i checked my balance u c i don t get statements 4 that acc,0,8.7822,0.0,0.0,0.0,0.0,0.0,"ts, statement, ac, ke, balance, pl, account, cc, pay, men, al, se, surprise"
u have won a nokia 6230 plus a free digital camera this is what u get when u win our free auction to take part send nokia to 83383 now pobox114 14tcr w1 16,1,22.2189,0.0,0.0,0.0,0.0,0.0,"ree, pobox, 16, nokia, 14, camera, auction, po, win, free, box, ke, pl, won, 30, tak, par, digital, 11, 23"
ok ill send you with in lt decimal gt ok,0,1.7034,0.0,0.0,0.0,0.0,0.0,"al, se, send, end"
bognor it is should be splendid at this time of year,0,2.2702,0.0,0.0,0.0,0.0,0.0,"pl, sp, end, year, spl"
yes i m in office da,0,0.8195,0.0,0.0,0.0,0.0,0.0,"office, yes"
ok i only ask abt e movie u wan ktv oso,0,1.3869,0.0,0.0,0.0,0.0,0.0,"ab, tv, movie"
misplaced your number and was sending texts to your old number wondering why i ve not heard from you this year all the best in your mcat got this number from my atlanta friends,0,11.9288,0.0,0.0,0.0,0.0,0.0,"ts, lac, ac, pl, won, texts, ending, text, din, al, sp, best, number won, rd, se, number, send, end, ext, year"
dunno lei i might b eatin wif my frens if wan to eat then i wait 4 lar,0,0.0,0.0,0.0,0.0,0.0,0.0,
free entry into our 250 weekly comp just send the word win to 80086 now 18 t c www txttowin co uk,1,23.0521,0.0,0.0,0.0,0.0,0.0,"800, weekly, free entry, ree, 08, www, uk, 18, entry, 250, txt, 80, 50, win, comp, free, com, 00, 25, word"
do u noe how 2 send files between 2 computers,0,4.0034,0.0,0.0,0.0,0.0,0.0,"rs, comp, com, se, send, end, computer"
mmmmm i loved waking to your words this morning i miss you too my love i hope your day goes well and you are happy i wait for us to be together again,0,2.802,0.0,0.0,0.0,0.0,0.0,"app, pe, word, rd, ki"
jay says he ll put in lt gt,0,0.0,0.0,0.0,0.0,0.0,0.0,
can you just come in for a sec there s somebody here i want you to see,0,2.1497,0.0,0.0,0.0,0.0,0.0,"sec, com, se"
so the sun is anti sleep medicine,0,0.0,0.0,0.0,0.0,0.0,0.0,
what s happening with you have you gotten a job and have you begun registration for permanent residency,0,3.5162,0.0,0.0,0.0,0.0,0.0,"app, pe, registration, resi, tt, job, ist"
yup ok,0,0.0,0.0,0.0,0.0,0.0,0.0,
glad it went well come over at 11 then we ll have plenty of time before claire goes to work,0,2.2653,0.0,0.0,0.0,0.0,0.0,"com, pl, 11"
ok enjoy r u there in home,0,1.2389,0.0,0.0,0.0,0.0,0.0,"njoy, enjoy"
can you pls pls send me a mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks,0,8.4075,0.0,0.0,0.0,0.0,0.0,"ts, com, pl, min, del, live, cost, ab, al, se, benefits, benefit, send, end"
you do what all you like,0,1.3375,0.0,0.0,0.0,0.0,0.0,"ke, al"
that s y we haf to combine n c how lor,0,0.8098,0.0,0.0,0.0,0.0,0.0,com
the monthly amount is not that terrible and you will not pay anything till 6months after finishing school,0,3.8678,0.0,0.0,0.0,0.0,0.0,"ft, monthly, pay, months, till, month, hl"
hmmm how many players selected,0,4.6487,0.0,0.0,0.0,0.0,0.0,"rs, selected, pl, player, play, se, select"
they said if its gonna snow it will start around 8 or 9 pm tonite they are predicting an inch of accumulation,0,4.8436,0.0,0.0,0.0,0.0,0.0,"ts, ac, inch, star, cc, pm, pre"
i dont can you send it to me plus how s mode,0,1.9271,0.0,0.0,0.0,0.0,0.0,"pl, se, send, end"
aiyo please got time meh,0,1.2125,0.0,0.0,0.0,0.0,0.0,"pl, se"
package all your programs well,0,4.9952,0.0,0.0,0.0,0.0,0.0,"ac, ms, pack, age, ka, al, program, gr"
she is our sister she belongs 2 our family she is d hope of tomorrow pray 4 her who was fated 4 d shoranur train incident lets hold our hands together amp fuelled by love amp concern prior 2 her grief amp pain pls join in dis chain amp pass it stop violence against women,0,7.2847,0.0,0.0,0.0,0.0,0.0,"ts, row, pl, stop, join, pe, women, men, hain, family, gr, ist"
so are you guys asking that i get that slippers again or its gone with last year,0,4.0361,0.0,0.0,0.0,0.0,0.3273,"ts, rs, pe, skin, ki, ip, year"
company is very good environment is terrific and food is really nice,0,3.5006,0.0,0.0,0.0,0.0,0.0,"comp, com, men, al, real, pan"
text82228 get more ringtones logos and games from www txt82228 com questions info txt82228 co uk,1,13.1158,0.0,0.0,0.0,0.0,0.0,"tone, ringtone, tones, ringtones, www, uk, games, txt, 28, com, info, text, log, 22, game, ons, ext"
honestly i ve just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out,0,4.3702,0.0,0.0,0.0,0.0,0.0,"rs, ke, pe, cup, opp, tt, dr"
yup but not studying surfing lor i m in e lazy mode today,0,0.675,0.0,0.0,0.0,0.0,0.0,surfing
please sen my kind advice please come here and try,0,2.3708,0.0,0.0,0.0,0.0,0.0,"com, pl, se, ki"
i m done c there,0,0.0,0.0,0.0,0.0,0.0,0.0,
oh fine i ll be by tonight,0,0.0,0.0,0.0,0.0,0.0,0.0,
give me some time to walk there,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
i ll reach in ard 20 mins ok,0,3.4647,0.0,0.0,0.0,0.0,0.0,"ac, min, 20, mins, rd"
freemsg you have been awarded a free mini digital camera just reply snap to collect your prize quizclub opt out stop 80122300p wk sp rwm ph 08704050406,1,31.5163,0.0,0.0,0.0,0.0,0.0,"prize, awarded, freemsg, 04, opt, ree, 08, award, club, quiz, 06, 80, 50, camera, 40, ph, ms, free, 70, reply"
fuck babe what happened to you how come you never came back,0,3.6477,0.0,0.0,0.0,0.0,0.0,"ac, com, app, pe, ab"
this message is brought to you by gmw ltd and is not connected to the,1,1.6549,0.0,0.0,0.0,0.0,0.0,"age, connected, message"
some friends want me to drive em someplace probably take a while,0,5.433,0.0,0.0,0.0,0.0,0.0,"lac, ac, ke, pl, tak, ab, dr, end"
i also thk too fast xy suggest one not me u dun wan it s ok going 2 rain leh where got gd,0,0.5455,0.0,0.0,0.0,0.0,0.0,al
are you still getting the goods,0,0.9706,0.0,0.0,0.0,0.0,0.0,"tt, till"
and maybe some pressies,0,0.32,0.0,0.0,0.0,0.0,0.0,pre
yeah i am so i ll leave maybe 7ish,0,0.0,0.0,0.0,0.0,0.0,0.0,
i told her i had a dr appt next week she thinks i m gonna die i told her its just a check nothing to be worried about but she didn t listen,0,4.2098,0.0,0.0,0.0,0.0,0.0,"ts, app, ab, thinks, dr, week, ext, ist"
you in your room i need a few,0,0.0,0.0,0.0,0.0,0.0,0.0,
i dont want to hear anything,0,0.0,0.0,0.0,0.0,0.0,0.0,
hey for me there is no leave on friday wait i will ask my superior and tell you,0,1.6485,0.0,0.0,0.0,0.0,0.0,"pe, super, rid"
ultimately tor motive tui achieve korli,0,0.8696,0.0,0.0,0.0,0.0,0.0,ac
from 5 to 2 only my work timing,0,0.7629,0.0,0.0,0.0,0.0,0.0,min
and don t worry we ll have finished by march ish,0,0.32,0.0,0.0,0.0,0.0,0.0,mar
the house is on the water with a dock a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel,0,2.2184,0.0,0.0,0.0,0.0,0.0,"new, ab, news, se"
congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid ur mates play java games dload polyph music noline rentl bx420 ip4 5we 150p,1,31.9487,0.0,0.0,0.0,0.0,1.7273,"150p, 150, poly, 50p, ts, music, video, games, phones, 45, 06, 50, mobile, 3g, rs, 15, po, 13, ph, mob"
your next amazing xxx picsfree1 video will be sent to you enjoy if one vid is not enough for 2day text back the keyword picsfree1 to get the next video,1,10.9378,0.0,0.0,0.0,0.0,0.0,"cs, ree, video, ac, free, ke, njoy, pic, sf, text, word, pics, rd, enjoy, se, ext"
now thats going to ruin your thesis,0,1.0,0.0,0.0,0.0,0.0,0.0,ts
in sch but neva mind u eat 1st lor,0,1.2306,0.0,0.0,0.0,0.0,0.0,"min, 1st"
hey whats up u sleeping all morning,0,1.5455,0.0,0.0,0.0,0.0,0.0,"ts, al"
erm i thought the contract ran out the4th of october,0,1.1696,0.0,0.0,0.0,0.0,0.0,"ac, 4t"
i dunno until when lets go learn pilates,0,1.875,0.0,0.0,0.0,0.0,0.0,"ts, earn"
u are subscribed to the best mobile content service in the uk for 3 per ten days until you send stop to 83435 helpline 08706091795,1,19.0478,0.0,0.0,0.0,0.0,0.0,"send stop, 08, subscribe, uk, service, content, 60, 06, mobile, mob, 70, pl, stop, line, pe, days, best, 17, 0870, mobile content"
yup i m elaborating on the safety aspects and some other issues,0,2.7763,0.0,0.0,0.0,0.0,0.0,"ts, pe, ab, sp"
